tier	score	en	fr	flags	en_ipa	fr_ipa	alignment
S	1.0	to	toux		tuː	tu	t:t u:u
S	1.0	to	tout		tuː	tu	t:t u:u
S	1.0	to	tous		tuː	tu	t:t u:u
S	1.0	for	forts		fɔː	fɔʁ	f:f ɔ:ɔ ·:ɹ
S	1.0	for	fort		fɔː	fɔʁ	f:f ɔ:ɔ ·:ɹ
S	1.0	be	bis		biː	bi	b:b i:i
B	1.0	by	bye	loanword	baɪ	baɪ	
S	1.0	or	ores		ɔː	ɔʁ	ɔ:ɔ ·:ɹ
S	1.0	or	hors		ɔː	ɔʁ	ɔ:ɔ ·:ɹ
S	1.0	we	ouïe		wiː	uj	w:u i:j
S	1.0	we	oui		wiː	wi	w:w i:i
S	1.0	me	mit		miː	mi	m:m i:i
S	1.0	me	mis		miː	mi	m:m i:i
S	1.0	me	mie		miː	mi	m:m i:i
S	1.0	do	doux		duː	du	d:d u:u
S	1.0	she	chie		ʃiː	ʃi	ʃ:ʃ i:i
S	1.0	new	nous		njuː	nu	n:n j:· u:u
S	1.0	see	sis		siː	si	s:s i:i
S	1.0	see	si		siː	si	s:s i:i
S	1.0	see	scie		siː	si	s:s i:i
S	1.0	two	toux		tuː	tu	t:t u:u
S	1.0	two	tout		tuː	tu	t:t u:u
S	1.0	two	tous		tuː	tu	t:t u:u
S	1.0	any	haie nient	multiword	ɛni	ɛni	ɛ:ɛ n:n i:i
S	1.0	said	cède		sɛd	sɛd	s:s ɛ:ɛ d:d
S	1.0	very	vais rient	multiword	vɛɹi	vɛʁi	v:v ɛ:ɛ ɹ:ɹ i:i
S	1.0	too	toux		tuː	tu	t:t u:u
S	1.0	too	tout		tuː	tu	t:t u:u
S	1.0	too	tous		tuː	tu	t:t u:u
S	1.0	many	mets nient	multiword	mɛni	mɛni	m:m ɛ:ɛ n:n i:i
B	1.0	around	round	loanword	ɐɹaʊnd	ɹaʊnd	
S	1.0	feel	files		fiːl	fil	f:f i:i l:l
S	1.0	feel	file		fiːl	fil	f:f i:i l:l
S	1.0	feel	fil		fiːl	fil	f:f i:i l:l
S	1.0	set	sets		sɛt	sɛt	s:s ɛ:ɛ t:t
S	1.0	set	sept		sɛt	sɛt	s:s ɛ:ɛ t:t
S	1.0	set	cette		sɛt	sɛt	s:s ɛ:ɛ t:t
S	1.0	group	groupes	cognate	ɡɹuːp	ɡʁup	ɡ:ɡ ɹ:ɹ u:u p:p
S	1.0	group	groupe	cognate	ɡɹuːp	ɡʁup	ɡ:ɡ ɹ:ɹ u:u p:p
S	1.0	read	rides		ɹiːd	ʁid	ɹ:ɹ i:i d:d
S	1.0	read	ride		ɹiːd	ʁid	ɹ:ɹ i:i d:d
S	1.0	mean	mines		miːn	min	m:m i:i n:n
S	1.0	mean	mine		miːn	min	m:m i:i n:n
S	1.0	tell	tels		tɛl	tɛl	t:t ɛ:ɛ l:l
S	1.0	tell	telles		tɛl	tɛl	t:t ɛ:ɛ l:l
S	1.0	tell	telle		tɛl	tɛl	t:t ɛ:ɛ l:l
S	1.0	seen	seine		siːn	sɛn	s:s i:ɛ n:n
S	1.0	call	cols		kɔːl	kɔl	k:k ɔ:ɔ l:l
S	1.0	call	collent		kɔːl	kɔl	k:k ɔ:ɔ l:l
S	1.0	call	colle		kɔːl	kɔl	k:k ɔ:ɔ l:l
S	1.0	men	mènent		mɛn	mɛn	m:m ɛ:ɛ n:n
S	1.0	men	mène		mɛn	mɛn	m:m ɛ:ɛ n:n
S	1.0	less	laisses		lɛs	lɛs	l:l ɛ:ɛ s:s
S	1.0	less	laissent		lɛs	lɛs	l:l ɛ:ɛ s:s
S	1.0	less	laisse		lɛs	lɛs	l:l ɛ:ɛ s:s
S	1.0	order	hordes		ɔːdɐ	ɔʁd	ɔ:ɔ ·:ɹ d:d ɐ:·
S	1.0	order	horde		ɔːdɐ	ɔʁd	ɔ:ɔ ·:ɹ d:d ɐ:·
S	1.0	says	seize		sɛz	sɛz	s:s ɛ:ɛ z:z
S	1.0	least	listes		liːst	list	l:l i:i s:s t:t
S	1.0	least	liste		liːst	list	l:l i:i s:s t:t
S	1.0	least	list		liːst	list	l:l i:i s:s t:t
S	1.0	talk	toc		tɔːk	teose	t:t ·:e ɔ:o k:s ·:e
S	1.0	court	quote		kɔːt	kɔt	k:k ɔ:ɔ t:t
S	1.0	court	cotes		kɔːt	kɔt	k:k ɔ:ɔ t:t
S	1.0	court	cote		kɔːt	kɔt	k:k ɔ:ɔ t:t
S	1.0	true	trous		tɹuː	tʁu	t:t ɹ:ɹ u:u
S	1.0	true	trou		tɹuː	tʁu	t:t ɹ:ɹ u:u
S	1.0	air	ère		eə	ɛʁ	e:ɛ ·:ɹ
S	1.0	air	airs	cognate	eə	ɛʁ	e:ɛ ·:ɹ
S	1.0	air	aires		eə	ɛʁ	e:ɛ ·:ɹ
S	1.0	due	doux		djuː	du	d:d j:· u:u
B	1.0	buy	bye	loanword	baɪ	baɪ	
S	1.0	red	raids		ɹɛd	ʁɛd	ɹ:ɹ ɛ:ɛ d:d
S	1.0	red	raide		ɹɛd	ʁɛd	ɹ:ɹ ɛ:ɛ d:d
S	1.0	red	raid		ɹɛd	ʁɛd	ɹ:ɹ ɛ:ɛ d:d
S	1.0	check	tchèques		tʃɛk	tʃɛk	t:t ʃ:ʃ ɛ:ɛ k:k
S	1.0	check	tchèque		tʃɛk	tʃɛk	t:t ʃ:ʃ ɛ:ɛ k:k
S	1.0	form	formes	cognate	fɔːm	fɔʁm	f:f ɔ:ɔ ·:ɹ m:m
S	1.0	form	forment		fɔːm	fɔʁm	f:f ɔ:ɔ ·:ɹ m:m
S	1.0	form	forme	cognate	fɔːm	fɔʁm	f:f ɔ:ɔ ·:ɹ m:m
S	1.0	west	ouest	cognate	wɛst	wɛst	w:w ɛ:ɛ s:s t:t
S	1.0	former	formes		fɔːmɐ	fɔʁm	f:f ɔ:ɔ ·:ɹ m:m ɐ:·
S	1.0	former	forment		fɔːmɐ	fɔʁm	f:f ɔ:ɔ ·:ɹ m:m ɐ:·
S	1.0	former	forme		fɔːmɐ	fɔʁm	f:f ɔ:ɔ ·:ɹ m:m ɐ:·
S	1.0	ready	raies dits	multiword	ɹɛdi	ʁɛdi	ɹ:ɹ ɛ:ɛ d:d i:i
S	1.0	meet	mythes		miːt	mit	m:m i:i t:t
S	1.0	meet	mythe		miːt	mit	m:m i:i t:t
S	1.0	re	riz		ɹiː	ʁi	ɹ:ɹ i:i
S	1.0	re	rit		ɹiː	ʁi	ɹ:ɹ i:i
S	1.0	re	ris		ɹiː	ʁi	ɹ:ɹ i:i
S	1.0	rest	restes		ɹɛst	ʁɛst	ɹ:ɹ ɛ:ɛ s:s t:t
S	1.0	rest	restent		ɹɛst	ʁɛst	ɹ:ɹ ɛ:ɛ s:s t:t
S	1.0	rest	reste		ɹɛst	ʁɛst	ɹ:ɹ ɛ:ɛ s:s t:t
S	1.0	sex	sexes	cognate	sɛks	sɛks	s:s ɛ:ɛ k:k s:s
S	1.0	sex	sexe	cognate	sɛks	sɛks	s:s ɛ:ɛ k:k s:s
S	1.0	knew	nous		njuː	nu	n:n j:· u:u
S	1.0	share	chères		ʃeə	ʃɛʁ	ʃ:ʃ e:ɛ ·:ɹ
S	1.0	share	chère		ʃeə	ʃɛʁ	ʃ:ʃ e:ɛ ·:ɹ
S	1.0	share	chers		ʃeə	ʃɛʁ	ʃ:ʃ e:ɛ ·:ɹ
S	1.0	test	tests	cognate	tɛst	tɛst	t:t ɛ:ɛ s:s t:t
S	1.0	test	teste		tɛst	tɛst	t:t ɛ:ɛ s:s t:t
S	1.0	movie	mous vies	multiword	muːvi	muvi	m:m u:u v:v i:i
S	1.0	press	presse	cognate	pɹɛs	pʁɛs	p:p ɹ:ɹ ɛ:ɛ s:s
B	1.0	role	roll	loanword	ɹəʊl	ɹəʊl	
S	1.0	cool	coulent		kuːl	kul	k:k u:u l:l
S	1.0	cool	coule		kuːl	kul	k:k u:u l:l
S	1.0	eat	hit		iːt	it	i:i t:t
S	1.0	fall	folles		fɔːl	fɔl	f:f ɔ:ɔ l:l
S	1.0	fall	folle		fɔːl	fɔl	f:f ɔ:ɔ l:l
S	1.0	fall	fol		fɔːl	fɔl	f:f ɔ:ɔ l:l
S	1.0	league	ligues	cognate	liːɡ	liɡ	l:l i:i ɡ:ɡ
S	1.0	league	ligue	cognate	liːɡ	liɡ	l:l i:i ɡ:ɡ
S	1.0	key	qui		kiː	ki	k:k i:i
S	1.0	led	laide		lɛd	lɛd	l:l ɛ:ɛ d:d
S	1.0	lord	lords	cognate	lɔːd	lɔʁ	l:l ɔ:ɔ d:ɹ
S	1.0	born	bornes		bɔːn	bɔʁn	b:b ɔ:ɔ ·:ɹ n:n
S	1.0	born	borne		bɔːn	bɔʁn	b:b ɔ:ɔ ·:ɹ n:n
S	1.0	born	bonnes		bɔːn	bɔn	b:b ɔ:ɔ n:n
S	1.0	met	mettent		mɛt	mɛt	m:m ɛ:ɛ t:t
S	1.0	met	mette		mɛt	mɛt	m:m ɛ:ɛ t:t
S	1.0	super	soupe		suːpɐ	sup	s:s u:u p:p ɐ:·
S	1.0	daughter	dort		dɔːtɐ	dɔʁ	d:d ɔ:ɔ t:· ɐ:ɹ
S	1.0	daughter	dors		dɔːtɐ	dɔʁ	d:d ɔ:ɔ t:· ɐ:ɹ
S	1.0	sea	sis		siː	si	s:s i:i
S	1.0	sea	si		siː	si	s:s i:i
S	1.0	sea	scie		siː	si	s:s i:i
B	1.0	offer	off	loanword	ɒfɐ	ɔf	
S	1.0	sleep	slip		sliːp	slip	s:s l:l i:i p:p
S	1.0	ball	bol		bɔːl	bɔl	b:b ɔ:ɔ l:l
S	1.0	piece	pisse		piːs	pis	p:p i:i s:s
S	1.0	peace	pisse		piːs	pis	p:p i:i s:s
S	1.0	beat	bits		biːt	bit	b:b i:i t:t
S	1.0	beat	bites		biːt	bit	b:b i:i t:t
S	1.0	beat	bite		biːt	bit	b:b i:i t:t
S	1.0	pressure	prêche		pɹɛʃɐ	pʁɛʃ	p:p ɹ:ɹ ɛ:ɛ ʃ:ʃ ɐ:·
S	1.0	cross	crosse		kɹɒs	kʁɔs	k:k ɹ:ɹ ɒ:ɔ s:s
S	1.0	sort	sortes	cognate	sɔːt	sɔʁt	s:s ɔ:ɔ ·:ɹ t:t
S	1.0	sort	sortent		sɔːt	sɔʁt	s:s ɔ:ɔ ·:ɹ t:t
S	1.0	sort	sorte	cognate	sɔːt	sɔʁt	s:s ɔ:ɔ ·:ɹ t:t
S	1.0	fair	fers		feə	fɛʁ	f:f e:ɛ ·:ɹ
S	1.0	fair	fer		feə	fɛʁ	f:f e:ɛ ·:ɹ
S	1.0	fair	faire		feə	fɛʁ	f:f e:ɛ ·:ɹ
S	1.0	sell	sels		sɛl	sɛl	s:s ɛ:ɛ l:l
S	1.0	sell	selles		sɛl	sɛl	s:s ɛ:ɛ l:l
S	1.0	sell	selle		sɛl	sɛl	s:s ɛ:ɛ l:l
S	1.0	scene	seine		siːn	sɛn	s:s i:ɛ n:n
S	1.0	rule	roulent		ɹuːl	ʁul	ɹ:ɹ u:u l:l
S	1.0	rule	roule		ɹuːl	ʁul	ɹ:ɹ u:u l:l
S	1.0	bought	bottes		bɔːt	bɔt	b:b ɔ:ɔ t:t
S	1.0	bought	botte		bɔːt	bɔt	b:b ɔ:ɔ t:t
S	1.0	caught	quote		kɔːt	kɔt	k:k ɔ:ɔ t:t
S	1.0	caught	cotes		kɔːt	kɔt	k:k ɔ:ɔ t:t
S	1.0	caught	cote		kɔːt	kɔt	k:k ɔ:ɔ t:t
S	1.0	peter	pires		piːtɐ	piʁ	p:p i:i t:· ɐ:ɹ
S	1.0	peter	pire		piːtɐ	piʁ	p:p i:i t:· ɐ:ɹ
S	1.0	cell	sels		sɛl	sɛl	s:s ɛ:ɛ l:l
S	1.0	cell	selles		sɛl	sɛl	s:s ɛ:ɛ l:l
S	1.0	cell	selle		sɛl	sɛl	s:s ɛ:ɛ l:l
S	1.0	truly	trous lies	multiword	tɹuːli	tʁuli	t:t ɹ:ɹ u:u l:l i:i
S	1.0	tree	tri		tɹiː	tʁi	t:t ɹ:ɹ i:i
S	1.0	vs	vies ès	multiword	viːɛs	viɛs	v:v i:i ɛ:ɛ s:s
S	1.0	fresh	fraîches	cognate	fɹɛʃ	fʁɛʃ	f:f ɹ:ɹ ɛ:ɛ ʃ:ʃ
S	1.0	fresh	fraîche	cognate	fɹɛʃ	fʁɛʃ	f:f ɹ:ɹ ɛ:ɛ ʃ:ʃ
S	1.0	seat	sites		siːt	sit	s:s i:i t:t
S	1.0	seat	site		siːt	sit	s:s i:i t:t
S	1.0	seat	citent		siːt	sit	s:s i:i t:t
S	1.0	bet	bêtes		bɛt	bɛt	b:b ɛ:ɛ t:t
S	1.0	bet	bête		bɛt	bɛt	b:b ɛ:ɛ t:t
S	1.0	ed	aides		ɛd	ɛd	ɛ:ɛ d:d
S	1.0	ed	aident		ɛd	ɛd	ɛ:ɛ d:d
S	1.0	ed	aide		ɛd	ɛd	ɛ:ɛ d:d
S	1.0	nor	nord		nɔː	nɔʁ	n:n ɔ:ɔ ·:ɹ
S	1.0	prove	prouvent		pɹuːv	pʁuv	p:p ɹ:ɹ u:u v:v
S	1.0	prove	prouve	cognate	pɹuːv	pʁuv	p:p ɹ:ɹ u:u v:v
S	1.0	boss	bosses		bɒs	bɔs	b:b ɒ:ɔ s:s
S	1.0	boss	bossent		bɒs	bɔs	b:b ɒ:ɔ s:s
S	1.0	boss	bosse		bɒs	bɔs	b:b ɒ:ɔ s:s
S	1.0	net	nettes		nɛt	nɛt	n:n ɛ:ɛ t:t
S	1.0	net	nette		nɛt	nɛt	n:n ɛ:ɛ t:t
S	1.0	net	nets	cognate	nɛt	nɛt	n:n ɛ:ɛ t:t
S	1.0	corner	cornes		kɔːnɐ	kɔʁn	k:k ɔ:ɔ ·:ɹ n:n ɐ:·
S	1.0	corner	corne		kɔːnɐ	kɔʁn	k:k ɔ:ɔ ·:ɹ n:n ɐ:·
S	1.0	lee	lits		liː	li	l:l i:i
S	1.0	lee	lit		liː	li	l:l i:i
S	1.0	lee	lis		liː	lis	l:l i:i ·:s
S	1.0	port	potes		pɔːt	pɔt	p:p ɔ:ɔ t:t
S	1.0	port	pote		pɔːt	pɔt	p:p ɔ:ɔ t:t
B	1.0	sport	spots	loanword	spɔːt	spɔt	
B	1.0	sport	spot	loanword	spɔːt	spɔt	
S	1.0	stress	stresse		stɹɛs	stʁɛs	s:s t:t ɹ:ɹ ɛ:ɛ s:s
B	1.0	tea	tee	loanword	tiː	ti	
S	1.0	pair	pères		peə	pɛʁ	p:p e:ɛ ·:ɹ
S	1.0	pair	père		peə	pɛʁ	p:p e:ɛ ·:ɹ
S	1.0	pair	pers		peə	pɛʁ	p:p e:ɛ ·:ɹ
S	1.0	steel	styles		stiːl	stil	s:s t:t i:i l:l
S	1.0	steel	style		stiːl	stil	s:s t:t i:i l:l
S	1.0	enemy	ennemies	cognate	ɛnəmi	ɛnəmi	ɛ:ɛ n:n ə:ə m:m i:i
S	1.0	debt	dettes	cognate	dɛt	dɛt	d:d ɛ:ɛ t:t
S	1.0	debt	dette	cognate	dɛt	dɛt	d:d ɛ:ɛ t:t
S	1.0	supreme	soupe rimes	multiword	suːpɹiːm	supʁim	s:s u:u p:p ɹ:ɹ i:i m:m
S	1.0	express	expresse	cognate	ɛkspɹɛs	ɛkspʁɛs	ɛ:ɛ k:k s:s p:p ɹ:ɹ ɛ:ɛ s:s
S	1.0	entry	haines tri	multiword	ɛntɹi	ɛntʁi	ɛ:ɛ n:n t:t ɹ:ɹ i:i
S	1.0	ms	aiment ès	multiword	ɛmɛs	ɛmɛs	ɛ:ɛ m:m ɛ:ɛ s:s
S	1.0	pool	poules		puːl	pul	p:p u:u l:l
S	1.0	pool	poule		puːl	pul	p:p u:u l:l
S	1.0	route	routes	cognate	ɹuːt	ʁut	ɹ:ɹ u:u t:t
S	1.0	leg	legs		lɛɡ	lɛɡ	l:l ɛ:ɛ ɡ:ɡ
S	1.0	sector	sectes		sɛktɐ	sɛkt	s:s ɛ:ɛ k:k t:t ɐ:·
S	1.0	sector	secte		sɛktɐ	sɛkt	s:s ɛ:ɛ k:k t:t ɐ:·
S	1.0	mm	aiment aimes	multiword	ɛmɛm	ɛmɛm	ɛ:ɛ m:m ɛ:ɛ m:m
S	1.0	meat	mythes		miːt	mit	m:m i:i t:t
S	1.0	meat	mythe		miːt	mit	m:m i:i t:t
S	1.0	cream	crimes		kɹiːm	kʁim	k:k ɹ:ɹ i:i m:m
S	1.0	cream	crime		kɹiːm	kʁim	k:k ɹ:ɹ i:i m:m
S	1.0	seek	sic		siːk	sik	s:s i:i k:k
S	1.0	bell	belles		bɛl	bɛl	b:b ɛ:ɛ l:l
S	1.0	bell	belle		bɛl	bɛl	b:b ɛ:ɛ l:l
S	1.0	bell	bel		bɛl	bɛl	b:b ɛ:ɛ l:l
S	1.0	sees	six		siːz	sis	s:s i:i z:s
S	1.0	em	aimes		ɛm	ɛm	ɛ:ɛ m:m
S	1.0	em	aiment		ɛm	ɛm	ɛ:ɛ m:m
S	1.0	em	aime		ɛm	ɛm	ɛ:ɛ m:m
S	1.0	mess	messes		mɛs	mɛs	m:m ɛ:ɛ s:s
S	1.0	mess	messe		mɛs	mɛs	m:m ɛ:ɛ s:s
S	1.0	arrest	restes		ɐɹɛst	ʁɛst	ɐ:· ɹ:ɹ ɛ:ɛ s:s t:t
S	1.0	arrest	restent		ɐɹɛst	ʁɛst	ɐ:· ɹ:ɹ ɛ:ɛ s:s t:t
S	1.0	arrest	reste		ɐɹɛst	ʁɛst	ɐ:· ɹ:ɹ ɛ:ɛ s:s t:t
