tier	score	en	fr	en_ipa	fr_ipa
S	1.0	group	groupes	ɡɹuːp	ɡʁup
S	1.0	group	groupe	ɡɹuːp	ɡʁup
S	1.0	air	airs	eə	ɛʁ
S	1.0	form	formes	fɔːm	fɔʁm
S	1.0	form	forme	fɔːm	fɔʁm
S	1.0	west	ouest	wɛst	wɛst
S	1.0	sex	sexes	sɛks	sɛks
S	1.0	sex	sexe	sɛks	sɛks
S	1.0	test	tests	tɛst	tɛst
S	1.0	press	presse	pɹɛs	pʁɛs
S	1.0	league	ligues	liːɡ	liɡ
S	1.0	league	ligue	liːɡ	liɡ
S	1.0	lord	lords	lɔːd	lɔʁ
S	1.0	sort	sortes	sɔːt	sɔʁt
S	1.0	sort	sorte	sɔːt	sɔʁt
S	1.0	fresh	fraîches	fɹɛʃ	fʁɛʃ
S	1.0	fresh	fraîche	fɹɛʃ	fʁɛʃ
S	1.0	prove	prouve	pɹuːv	pʁuv
S	1.0	net	nets	nɛt	nɛt
S	1.0	enemy	ennemies	ɛnəmi	ɛnəmi
S	1.0	debt	dettes	dɛt	dɛt
S	1.0	debt	dette	dɛt	dɛt
S	1.0	express	expresse	ɛkspɹɛs	ɛkspʁɛs
S	1.0	route	routes	ɹuːt	ʁut
S	1.0	peak	pics	piːk	pik
S	1.0	technique	techniques	tɛkniːk	tɛknik
S	1.0	boom	boum	buːm	bum
S	1.0	sec	secs	sɛk	sɛk
S	1.0	jet	jets	dʒɛt	ʒɛ
S	1.0	chef	chefs	ʃɛf	ʃɛf
S	1.0	soup	soupe	suːp	sup
S	1.0	ski	skis	skiː	ski
S	1.0	escort	escorte	ɛskɔːɹt	ɛskɔʁt
S	1.0	norm	normes	nɔːm	nɔʁm
S	1.0	norm	norme	nɔːm	nɔʁm
S	1.0	esteem	estime	ɛstiːm	ɛstim
S	1.0	tel	tels	tɛl	tɛl
S	1.0	breeze	brise	bɹiːz	bʁiz
S	1.0	niche	niches	niːʃ	niʃ
S	1.0	belle	belles	bɛl	bɛl
S	1.0	yen	yens	jɛn	jɛn
S	1.0	troop	troupes	tɹuːp	tʁup
S	1.0	troop	troupe	tɹuːp	tʁup
S	1.0	rouge	rouges	ɹuːʒ	ʁuʒ
S	1.0	beep	bip	biːp	bip
S	1.0	boom	booms	buːm	bum
S	1.0	boutique	boutiques	buːtiːk	butik
S	1.0	chic	chics	ʃiːk	ʃik
