fr:bref	fr:brève	0.7
en:bloom	en:blossoming	0.7
en:dye	en:colorant	0.7
fr:energies	fr:énergies	0.7
en:etf	en:etfs	0.7
fr:célébré	fr:fêté	0.7
fr:doubler	fr:double	0.7
en:subordinates	en:subordinated	0.7
fr:glissante	fr:glissant	0.7
en:subscription	en:underwriting	0.7
fr:imprudente	fr:téméraire	0.7
en:bromine	en:brome	0.7
en:restaurant	en:restaurants	0.7
fr:humains	fr:humain	0.7
fr:octroi	fr:octroyer	0.7
fr:joël	fr:joel	0.7
fr:bourdon	fr:drones	0.7
en:vanished	en:faded	0.7
en:latino	en:latina	0.7
en:thrilling	en:exhilarating	0.7
fr:gelé	fr:congelé	0.7
fr:rampage	fr:saccage	0.7
en:skill	en:expertise	0.7
fr:infecté	fr:contaminé	0.7
en:records	en:registrations	0.7
en:capital	en:capitalization	0.7
en:fear	en:scared	0.7
fr:suffisantes	fr:suffisamment	0.7
fr:monopole	fr:monopoles	0.7
fr:fragmenté	fr:fragmentée	0.7
fr:amertume	fr:amères	0.7
en:pin	en:brooch	0.7
fr:couronnées	fr:couronné	0.7
fr:tarifaire	fr:tarif	0.7
fr:laide	fr:moches	0.7
fr:néerlandais	fr:hollandais	0.7
fr:omis	fr:omettre	0.7
en:bud	en:buds	0.7
en:triggers	en:detonator	0.7
fr:cuisiner	fr:cuisinière	0.7
fr:poussez	fr:pousse	0.7
fr:troublé	fr:troublée	0.7
fr:manqué	fr:manqués	0.7
en:information	en:info	0.7
fr:nécessaires	fr:besoin	0.7
fr:révélées	fr:révélée	0.7
en:choice	en:selection	0.7
fr:connectée	fr:raccordée	0.7
fr:intestin	fr:tripes	0.7
fr:proportionnels	fr:proportionné	0.7
en:fee	en:fees	0.7
fr:inadapté	fr:insuffisants	0.7
fr:fédérale	fr:fédérales	0.7
fr:afghans	fr:afghane	0.7
en:summon	en:summoning	0.7
fr:approvisionné	fr:fourni	0.7
fr:novatrices	fr:innovateur	0.7
en:stove	en:pans	0.7
en:minimum	en:minima	0.7
en:teachers	en:professors	0.7
fr:chimpanzés	fr:chimpanzé	0.7
fr:pense	fr:réfléchir	0.7
fr:égal	fr:égale	0.7
en:adherence	en:adhesion	0.7
fr:peterson	fr:petersen	0.7
en:moors	en:moorish	0.7
fr:collectés	fr:recueilli	0.7
fr:réparées	fr:réparé	0.7
en:cozy	en:snug	0.7
fr:réclamation	fr:plainte	0.7
fr:perches	fr:perche	0.7
en:whip	en:whisk	0.7
fr:smartphone	fr:smartphones	0.7
en:baths	en:tubs	0.7
fr:intervalle	fr:entracte	0.7
en:shoot	en:shoots	0.7
fr:tardive	fr:retard	0.7
fr:renommée	fr:renommé	0.7
fr:protégés	fr:protégée	0.7
fr:étages	fr:planchers	0.7
fr:gênante	fr:embarrassant	0.7
fr:répressives	fr:répressifs	0.7
en:rusty	en:rusted	0.7
en:police	en:policeman	0.7
fr:siècle	fr:century	0.7
en:willful	en:obstinate	0.7
fr:islamiste	fr:islamique	0.7
fr:galons	fr:tresses	0.7
en:mon	en:lun	0.7
en:sunshine	en:sunlight	0.7
en:rulers	en:sovereign	0.7
fr:enseignement	fr:éducation	0.7
fr:pillards	fr:piller	0.7
fr:sponsoring	fr:parrainer	0.7
fr:vu	fr:vus	0.7
fr:oméga	fr:omega	0.7
fr:persistant	fr:persistante	0.7
en:brightness	en:brilliance	0.7
en:roasted	en:roast	0.7
fr:mosaïques	fr:mosaïque	0.7
fr:facilitée	fr:facilité	0.7
en:oppression	en:oppressive	0.7
fr:pet	fr:pète	0.7
fr:lunaire	fr:moon	0.7
en:author	en:writer	0.7
en:confirm	en:confirming	0.7
en:subscriber	en:subscribed	0.7
fr:inférieures	fr:inférieure	0.7
fr:excitée	fr:cornée	0.7
en:porter	en:gatekeeper	0.7
en:creative	en:creatives	0.7
fr:martiens	fr:martien	0.7
fr:rondelle	fr:puck	0.7
en:core	en:hearts	0.7
en:api	en:apis	0.7
fr:hébreu	fr:hébreux	0.7
en:petals	en:petal	0.7
fr:élargit	fr:étend	0.7
fr:assoiffés	fr:soif	0.7
en:lips	en:mouths	0.7
fr:équivalentes	fr:équivalent	0.7
en:agent	en:trustee	0.7
fr:quincaillerie	fr:matériel	0.7
en:clown	en:guignol	0.7
fr:somptueux	fr:somptueuse	0.7
en:injury	en:lesions	0.7
en:gas	en:gaz	0.7
fr:voir	fr:visualiser	0.7
fr:institutionnelle	fr:institutionnels	0.7
fr:invité	fr:invités	0.7
fr:corriger	fr:rectification	0.7
en:intermittent	en:intermittently	0.7
fr:mûre	fr:mûrs	0.7
en:sign	en:signing	0.7
fr:identifié	fr:identifiées	0.7
en:plunder	en:piller	0.7
en:involuntary	en:unintended	0.7
en:trays	en:plateaux	0.7
en:divorced	en:divorcée	0.7
fr:différentielle	fr:différentiel	0.7
en:light	en:slight	0.7
en:car	en:cars	0.7
en:complicated	en:complicates	0.7
en:dismissal	en:redundancies	0.7
fr:utilisé	fr:utilisés	0.7
en:ample	en:plentiful	0.7
fr:shooter	fr:tireur	0.7
en:hercules	en:hercule	0.7
fr:verticaux	fr:verticale	0.7
fr:colorant	fr:teinture	0.7
fr:faux	fr:fake	0.7
fr:causerie	fr:bavardage	0.7
fr:rusty	fr:rouillé	0.7
fr:mobilisées	fr:mobilisé	0.7
fr:déduit	fr:déduites	0.7
en:calendar	en:diary	0.7
fr:matraque	fr:sceptre	0.7
en:temptation	en:tempting	0.7
fr:pertinentes	fr:pertinents	0.7
fr:congélation	fr:gel	0.7
en:retired	en:pensioners	0.7
en:expeditions	en:dispatches	0.7
fr:architecte	fr:architectes	0.7
fr:isolant	fr:isolants	0.7
fr:imp	fr:lutin	0.7
en:delegate	en:delegating	0.7
en:claim	en:reclaim	0.7
fr:partisans	fr:soutiens	0.7
fr:étroite	fr:étroites	0.7
en:advanced	en:sophisticated	0.7
en:disgrace	en:dishonour	0.7
en:offenders	en:offender	0.7
fr:roches	fr:pierres	0.7
en:sunglasses	en:goggles	0.7
en:redesigned	en:reworked	0.7
en:spectrum	en:spectre	0.7
en:decrease	en:minimize	0.7
en:bills	en:invoices	0.7
fr:incessantes	fr:incessant	0.7
fr:vil	fr:ignoble	0.7
en:pasha	en:pacha	0.7
fr:menaçante	fr:menaçant	0.7
en:flip	en:turnaround	0.7
fr:savait	fr:savaient	0.7
en:deportation	en:eviction	0.7
fr:personnalisés	fr:personnalisée	0.7
en:bypass	en:derivation	0.7
fr:obscure	fr:obscurs	0.7
fr:contourner	fr:pontage	0.7
en:dinar	en:dinars	0.7
en:renamed	en:renown	0.7
en:translated	en:translate	0.7
en:cad	en:auc	0.7
fr:concis	fr:concise	0.7
en:speakers	en:loudspeaker	0.7
fr:conservés	fr:préservés	0.7
fr:expérimenté	fr:expérimentés	0.7
en:adjust	en:adjusting	0.7
fr:frontalier	fr:bordure	0.7
en:basin	en:pelvis	0.7
en:gladiators	en:gladiator	0.7
fr:répéter	fr:répétition	0.7
fr:franchissement	fr:traverser	0.7
en:conviction	en:condemnation	0.7
fr:echanges	fr:échanges	0.7
fr:habillées	fr:habillés	0.7
en:disaster	en:catastrophes	0.7
en:meadows	en:meadow	0.7
en:broke	en:busted	0.7
en:wrist	en:wrists	0.7
en:ginger	en:roux	0.7
fr:fougueux	fr:ardente	0.7
fr:promue	fr:promu	0.7
fr:élevée	fr:haute	0.7
en:expatriates	en:expat	0.7
fr:trophée	fr:trophy	0.7
fr:greco	fr:gréco	0.7
en:zoological	en:zoologique	0.7
en:proponent	en:originator	0.7
fr:ecossais	fr:écossais	0.7
en:disagreement	en:disagreements	0.7
en:booty	en:butts	0.7
fr:concombre	fr:concombres	0.7
