en	fr	score	tier	gold_en	gold_fr	src_tier
bluff	bluffées	0.625	STRICT	bluff	bluff	DUAL-S
bluffs	bluffées	0.584	PASS	bluff	bluff	DUAL-S
bluffing	bluffées	0.587	PASS	bluff	bluff	DUAL-S
bluffed	bluffées	0.584	PASS	bluff	bluff	DUAL-S
protest	protestés	0.807	STRICT	protest	protester	DUAL-S
protests	protestés	0.769	STRICT	protest	protester	DUAL-S
protesting	protestés	0.713	STRICT	protest	protester	DUAL-S
protested	protestés	0.715	STRICT	protest	protester	DUAL-S
cassia	cacha	0.555	PASS	cassia	cacher	S
kasha	cacha	0.555	PASS	kasha	cacher	S
shooter	shootes	0.523	PASS	shooter	shooter	S
terror	tés	0.556	PASS	terror	ter	S
terrors	tés	0.508	PASS	terror	ter	S
lou	loupai	0.645	STRICT	lou	loup	STRICT-GOLD
titter	tira	0.546	PASS	titter	tir	STRICT-GOLD
tittering	tira	0.465	PASS	titter	tir	STRICT-GOLD
titters	tira	0.506	PASS	titter	tir	STRICT-GOLD
tittered	tira	0.506	PASS	titter	tir	STRICT-GOLD
twitter	tira	0.533	PASS	twitter	tir	STRICT-GOLD
twittering	tira	0.465	PASS	twitter	tir	STRICT-GOLD
twitters	tira	0.500	PASS	twitter	tir	STRICT-GOLD
twittered	tira	0.500	PASS	twitter	tir	STRICT-GOLD
luke	loupai	0.610	STRICT	luke	loup	GOLD
luther	loupai	0.603	STRICT	luther	loup	GOLD
pity	prisez	0.602	STRICT	pity	pris	GOLD
pitied	prisez	0.602	STRICT	pity	pris	GOLD
pitying	prisez	0.568	PASS	pity	pris	GOLD
pities	prisez	0.705	STRICT	pity	pris	GOLD
pre	prisez	0.716	STRICT	pre	pris	GOLD
preen	prisez	0.683	STRICT	preen	pris	GOLD
preening	prisez	0.636	STRICT	preen	pris	GOLD
preened	prisez	0.660	STRICT	preen	pris	GOLD
preens	prisez	0.680	STRICT	preen	pris	GOLD
spree	prisez	0.577	PASS	spree	pris	GOLD
sprees	prisez	0.680	STRICT	spree	pris	GOLD
tear	tira	0.546	PASS	tear	tir	GOLD
tears	tira	0.506	PASS	tear	tir	GOLD
torn	tira	0.468	PASS	tear	tir	GOLD
tearing	tira	0.477	PASS	tear	tir	GOLD
tore	tira	0.514	PASS	tear	tir	GOLD
teared	tira	0.492	PASS	tear	tir	GOLD
teeter	tira	0.781	STRICT	teeter	tir	GOLD
